policy,category,grid_i,grid_j,bias_p1,bias_p2,window_index,window_end_round,outcome,share
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,1,100000,"(2,2)",3.125e-05
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,1,100000,Off diagonal,0.0042962499999999685
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,1,100000,Residual,0.004367499999999969
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,2,200000,"(0,0)",0.99999
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,2,200000,"(1,1)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,2,200000,"(2,2)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,2,200000,Off diagonal,9.99999999995449e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,2,200000,Residual,9.99999999995449e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,3,300000,"(0,0)",0.999995
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,3,300000,"(1,1)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,3,300000,"(2,2)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,3,300000,Off diagonal,5.000000000032756e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,3,300000,Residual,5.000000000032756e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,4,400000,"(0,0)",0.999995625
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,4,400000,"(1,1)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,4,400000,"(2,2)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,4,400000,Off diagonal,4.374999999945395e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,4,400000,Residual,4.374999999945395e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,5,500000,"(0,0)",0.999998125
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,5,500000,"(1,1)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,5,500000,"(2,2)",0.0
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,5,500000,Off diagonal,1.875000000040039e-06
epsilon_greedy,Asymmetric,49,0,2.0,-2.0,5,500000,Residual,1.875000000040039e-06
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,1,100000,"(0,0)",0.994409375
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,1,100000,"(1,1)",4.3125e-05
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,1,100000,"(2,2)",3.25e-05
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,1,100000,Off diagonal,0.00551499999999996
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,1,100000,Residual,0.00559062499999996
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,2,200000,"(0,0)",0.999989375
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,2,200000,"(1,1)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,2,200000,"(2,2)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,2,200000,Off diagonal,1.0625000000041851e-05
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,2,200000,Residual,1.0625000000041851e-05
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,3,300000,"(0,0)",0.999994375
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,3,300000,"(1,1)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,3,300000,"(2,2)",0.0
