policy,grid_i,grid_j,bias_p1,bias_p2,p_stage0,p_stage1,p_stage2,p_mixed,modal_outcome,outcome_entropy,n_replicates,final_horizon,stable_fraction,mean_first_dominance_time,mean_terminal_stage0_share,median_terminal_stage0_share,p10_terminal_stage0_share,mean_terminal_off_diagonal_share,mean_terminal_residual_share,fraction_reaching_attraction,median_first_attraction_time,p10_first_attraction_time,p90_first_attraction_time,fraction_exiting_after_entry,mean_reentries,mean_dominance_exits,median_last_exit_time,first_attraction_spread,terminal_residual_share_for_plot,terminal_off_diagonal_share_for_plot,median_stage0_margin,p10_stage0_margin,fraction_stage0_ranked_highest,mean_final_stage0_action_share,median_stage0_selection_probability
epsilon_greedy,1,7,-1.9183673469387752,-1.4285714285714286,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,8,-1.9183673469387752,-1.3469387755102042,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,9,-1.9183673469387752,-1.2653061224489797,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,10,-1.9183673469387752,-1.183673469387755,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,11,-1.9183673469387752,-1.1020408163265307,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,12,-1.9183673469387752,-1.020408163265306,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,13,-1.9183673469387752,-0.9387755102040818,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,14,-1.9183673469387752,-0.8571428571428572,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,15,-1.9183673469387752,-0.7755102040816328,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,16,-1.9183673469387752,-0.6938775510204083,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,17,-1.9183673469387752,-0.6122448979591837,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,18,-1.9183673469387752,-0.5306122448979593,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,19,-1.9183673469387752,-0.4489795918367347,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,20,-1.9183673469387752,-0.3673469387755104,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,21,-1.9183673469387752,-0.2857142857142858,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,22,-1.9183673469387752,-0.2040816326530614,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,23,-1.9183673469387752,-0.1224489795918368,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,24,-1.9183673469387752,-0.0408163265306122,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,25,-1.9183673469387752,0.0408163265306122,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,26,-1.9183673469387752,0.1224489795918364,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,27,-1.9183673469387752,0.204081632653061,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,28,-1.9183673469387752,0.2857142857142856,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,29,-1.9183673469387752,0.3673469387755101,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,30,-1.9183673469387752,0.4489795918367343,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,31,-1.9183673469387752,0.5306122448979589,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,32,-1.9183673469387752,0.6122448979591835,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,33,-1.9183673469387752,0.693877551020408,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,34,-1.9183673469387752,0.7755102040816326,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,35,-1.9183673469387752,0.8571428571428568,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,36,-1.9183673469387752,0.9387755102040812,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,37,-1.9183673469387752,1.020408163265306,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,38,-1.9183673469387752,1.1020408163265305,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,39,-1.9183673469387752,1.1836734693877546,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,40,-1.9183673469387752,1.2653061224489792,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,41,-1.9183673469387752,1.3469387755102038,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,42,-1.9183673469387752,1.4285714285714284,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,43,-1.9183673469387752,1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,44,-1.9183673469387752,1.591836734693877,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,45,-1.9183673469387752,1.6734693877551017,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,46,-1.9183673469387752,1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,47,-1.9183673469387752,1.8367346938775508,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,48,-1.9183673469387752,1.9183673469387752,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,49,-1.9183673469387752,2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,353.75,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,835.0,0.0,0.0,0.0,,835.0,3.0000000000030003e-06,3.0000000000030003e-06,0.6246656232225862,0.001089363634269791,1.0,0.9995635,
epsilon_greedy,2,0,-1.836734693877551,-2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,346.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,835.0,0.0,0.0,0.0,,835.0,3.0000000000030003e-06,3.0000000000030003e-06,0.8810802568492818,0.001089363634269791,1.0,0.9995753125,
epsilon_greedy,2,1,-1.836734693877551,-1.9183673469387752,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,2,-1.836734693877551,-1.836734693877551,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,3,-1.836734693877551,-1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,4,-1.836734693877551,-1.673469387755102,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,5,-1.836734693877551,-1.5918367346938775,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,6,-1.836734693877551,-1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,7,-1.836734693877551,-1.4285714285714286,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,8,-1.836734693877551,-1.3469387755102042,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,9,-1.836734693877551,-1.2653061224489797,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,10,-1.836734693877551,-1.183673469387755,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,11,-1.836734693877551,-1.1020408163265307,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,12,-1.836734693877551,-1.020408163265306,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,13,-1.836734693877551,-0.9387755102040818,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,14,-1.836734693877551,-0.8571428571428572,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,15,-1.836734693877551,-0.7755102040816328,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,16,-1.836734693877551,-0.6938775510204083,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,17,-1.836734693877551,-0.6122448979591837,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,18,-1.836734693877551,-0.5306122448979593,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,19,-1.836734693877551,-0.4489795918367347,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,20,-1.836734693877551,-0.3673469387755104,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,21,-1.836734693877551,-0.2857142857142858,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,22,-1.836734693877551,-0.2040816326530614,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,23,-1.836734693877551,-0.1224489795918368,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,24,-1.836734693877551,-0.0408163265306122,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,25,-1.836734693877551,0.0408163265306122,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,2,26,-1.836734693877551,0.1224489795918364,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
